Wall time,Step,Value
1516282071.9931266,0,0.0020558584947139025
1516282478.1380243,167,0.22674070298671722
1516282651.4892116,376,0.3869710862636566
1516282826.6899664,588,0.452642560005188
1516283002.4411426,800,0.5364645719528198
1516283178.9059658,1013,0.5821030735969543
1516283356.5830922,1224,0.6134072542190552
1516283535.7848682,1437,0.6695976257324219
1516283716.483431,1651,0.6834807395935059
1516283897.4082706,1864,0.707067608833313
1516284078.2166505,2078,0.6821498870849609
1516284262.0062141,2369,0.7549213767051697
1516284446.455586,2654,0.7455560564994812
1516284630.7124212,2941,0.794805109500885
1516284816.477085,3182,0.7900710701942444
1516285003.7343667,3288,0.8056725859642029
1516285191.9646213,3436,0.8023666143417358
1516285379.413998,3718,0.7955120801925659
1516285569.0275297,4002,0.7914530038833618
1516286665.9754674,3718,0.7955120801925659
1516286848.5521524,4002,0.7914530038833618
1516287923.3402486,3718,0.7955120801925659
1516288214.6819942,4002,0.7914530038833618
1516288515.5960512,4132,0.7871138453483582
1516289080.98486,4316,0.8069791197776794
1516289656.307317,4527,0.7981564998626709
1516290230.2467933,4738,0.7990726828575134
1516290904.2089634,4949,0.8118317723274231
1516291475.9246972,5161,0.8050625920295715
1516292049.8636787,5373,0.8144114017486572
1516292716.2102683,5585,0.8185355067253113
1516293292.3718057,5796,0.8261958360671997
1516293877.2261767,6008,0.8248674869537354
1516294451.880191,6222,0.8196883201599121
1516295031.413979,6437,0.836798369884491
1516295708.163005,6652,0.8204097151756287
1516296286.8543293,6877,0.8119057416915894
1516296875.3457122,7089,0.8308305740356445
1516297473.3358767,7301,0.8212292790412903
1516298069.5316753,7512,0.8337801098823547
1516298664.5921586,7725,0.8353375196456909
1516299250.6834705,7936,0.8491727113723755
1516299805.1742256,8148,0.8541056513786316
1516316828.1739945,8148,0.8541056513786316
1516317456.6985407,8834,0.820777177810669
1516317976.841559,9569,0.8278751373291016
1516318511.0000741,10000,0.8175048828125
