Wall time,Step,Value
1516282071.9891527,0,0.00010853867570403963
1516282478.1320372,167,0.6465132832527161
1516282651.4832275,376,0.7257665395736694
1516282826.683983,588,0.7610204219818115
1516283002.4361281,800,0.8301209211349487
1516283178.9009624,1013,0.7916228175163269
1516283356.576104,1224,0.7999237775802612
1516283535.7788165,1437,0.8192817568778992
1516283716.4764025,1651,0.8471844792366028
1516283897.4022634,1864,0.8984643220901489
1516284078.2116451,2078,0.9028895497322083
1516284261.999209,2369,0.9344289302825928
1516284446.4495955,2654,0.9469496011734009
1516284630.706419,2941,0.9926123023033142
1516284816.4700792,3182,0.9839590191841125
1516285003.7293632,3288,0.9860877394676208
1516285191.9596195,3436,0.9918445348739624
1516285379.4079964,3718,0.9995567202568054
1516285569.0215247,4002,0.9979541897773743
1516286665.30783,3718,0.9995567202568054
1516286848.5481384,4002,0.9979541897773743
1516287923.3352458,3718,0.9995567202568054
1516288214.6769903,4002,0.9979541897773743
1516288515.5910418,4132,0.9938749074935913
1516289080.98486,4316,0.9991315603256226
1516289656.307317,4527,0.9956725835800171
1516290230.2467933,4738,0.9927499294281006
1516290904.2089634,4949,0.9975913166999817
1516291475.9246972,5161,0.9886892437934875
1516292049.8576732,5373,0.9868534803390503
1516292716.2102683,5585,0.9913816452026367
1516293292.3718057,5796,0.9929766058921814
1516293877.2211726,6008,0.9879826903343201
1516294451.8731837,6222,0.9927959442138672
1516295031.4099762,6437,0.9886012673377991
1516295708.1580021,6652,0.9938749074935913
1516296286.8543293,6877,0.9938749074935913
1516296875.3457122,7089,0.9991315603256226
1516297473.3358767,7301,0.9978785514831543
1516298069.5316753,7512,0.9983312487602234
1516298664.5921586,7725,0.9972419142723083
1516299250.6834705,7936,0.9962672591209412
1516299805.1742256,8148,0.9991315603256226
1516316828.1739945,8148,0.9991315603256226
1516317456.6985407,8834,0.9888004660606384
1516317976.841559,9569,1.0
1516318511.0000741,10000,0.9965805411338806
