Wall time,Step,Value
1516334771.488546,0,0.000763000687584281
1516335303.3263128,197,0.9517269134521484
1516335932.0206602,401,0.946073591709137
1516336560.0420952,604,0.9581825733184814
1516337102.7522745,809,0.9548969864845276
1516337731.5775263,1012,0.9346952438354492
1516338361.3025827,1216,0.9131942391395569
1516338901.7589877,1420,0.9573677778244019
1516339532.1483479,1625,0.9431104063987732
1516340162.0664194,1830,0.9029471278190613
1516340703.1153579,2034,0.9267167448997498
1516341330.6492982,2238,0.8986769914627075
1516341960.8401225,2442,0.9211658835411072
1516342503.1549132,2645,0.9058341979980469
1516343131.2243264,2849,0.9167448282241821
1516343761.6732373,3054,0.9535387754440308
1516344302.6756003,3258,0.9645451903343201
1516344932.4678078,3463,0.9535889625549316
1516345561.5769916,3668,0.9611529111862183
1516346104.2515829,3872,0.9691856503486633
1516346732.9398556,4076,0.9560434222221375
1516347363.774561,4280,0.9527738690376282
1516347903.8772395,4484,0.9586893320083618
1516348532.7831516,4688,0.9712888598442078
1516349162.137247,4892,0.9622734189033508
1516349703.9971404,5097,0.9745532870292664
1516350333.657508,5301,0.9578686952590942
1516350963.071188,5506,0.9867165684700012
1516351504.0910408,5710,0.9834814071655273
1516352132.659376,5914,0.9648765325546265
1516352763.1722946,6118,0.9804458618164062
1516353305.6412213,6322,0.9841567873954773
1516353934.7259462,6527,0.9634588360786438
1516354564.871206,6729,0.9774356484413147
1516355107.1938944,6931,0.9722104668617249
1516355734.5137045,7134,0.9667258262634277
1516356366.9367578,7336,0.9611623287200928
1516356908.75882,7539,0.9794172644615173
1516357539.7630093,7741,0.9730514287948608
1516358225.9859672,7741,0.9730514287948608
1516358765.9166791,7916,0.9754407405853271
1516359307.3428493,8096,0.9773088693618774
1516359936.8721807,8275,0.9798778891563416
1516360565.9806435,8453,0.979169487953186
1516361106.8881264,8632,0.9810904264450073
1516361737.3247645,8811,0.9814091324806213
1516362367.0063114,8990,0.982874870300293
1516362908.7044187,9169,0.9835807681083679
1516363537.7853236,9348,0.9836369156837463
1516364166.8843882,9527,0.9846426844596863
1516364707.7348874,9707,0.9834499359130859
1516365336.4712305,9887,0.9803987741470337
1516365689.5590396,10000,0.9839165806770325
