filename,width,height,class,xmin,ymin,xmax,ymax
bottle_001.jpg,300,300,emptybottle,112,3,189,297
bottle_002.jpg,300,300,emptybottle,94,25,202,282
bottle_003.jpg,300,300,emptybottle,117,12,186,287
bottle_004.jpg,300,300,emptybottle,103,37,205,271
bottle_005.jpg,300,300,emptybottle,107,4,196,298
bottle_007.jpg,300,300,emptybottle,113,8,200,288
bottle_008.jpg,300,300,emptybottle,108,13,184,260
bottle_009.jpg,300,300,emptybottle,1,22,91,269
bottle_009.jpg,300,300,emptybottle,114,27,208,271
bottle_009.jpg,300,300,emptybottle,233,18,298,272
bottle_010.jpg,300,300,emptybottle,113,6,180,289
bottle_011.jpg,300,300,emptybottle,121,61,183,284
bottle_012.jpg,300,300,emptybottle,51,46,102,179
bottle_012.jpg,300,300,emptybottle,96,43,134,173
bottle_012.jpg,300,300,emptybottle,130,44,167,173
bottle_012.jpg,300,300,emptybottle,166,42,203,177
bottle_012.jpg,300,300,emptybottle,199,48,250,181
bottle_012.jpg,300,300,emptybottle,126,115,175,258
bottle_013.jpg,300,300,emptybottle,100,14,199,285
bottle_014.jpg,300,300,emptybottle,68,22,238,289
bottle_015.jpg,300,300,emptybottle,112,16,184,294
bottle_016.jpg,300,300,emptybottle,124,14,182,286
bottle_017.jpg,300,300,emptybottle,96,27,180,276
bottle_018.jpg,300,300,emptybottle,106,30,191,284
bottle_019.jpg,300,300,emptybottle,104,32,187,256
bottle_020.jpg,300,300,emptybottle,96,38,202,284
bottle_021.jpg,300,300,emptybottle,75,35,223,291
bottle_022.jpg,300,300,emptybottle,21,117,279,184
bottle_023.jpg,300,300,emptybottle,81,25,214,283
bottle_024.jpg,300,300,emptybottle,106,1,194,300
bottle_025.jpg,300,300,emptybottle,59,2,141,295
bottle_025.jpg,300,300,emptybottle,125,7,198,269
bottle_025.jpg,300,300,emptybottle,185,10,249,252
bottle_027.jpg,300,300,emptybottle,80,97,110,231
bottle_027.jpg,300,300,emptybottle,134,84,169,232
bottle_027.jpg,300,300,emptybottle,191,103,223,232
bottle_028.jpg,300,300,emptybottle,26,145,113,237
bottle_028.jpg,300,300,emptybottle,106,185,273,229
bottle_028.jpg,300,300,emptybottle,189,60,226,205
bottle_028.jpg,300,300,emptybottle,76,164,201,208
bottle_029.jpg,300,300,emptybottle,119,59,180,261
bottle_030.jpg,300,300,emptybottle,98,20,178,277
bottle_031.jpg,300,300,emptybottle,110,22,189,267
bottle_032.jpg,300,300,emptybottle,67,9,140,263
bottle_032.jpg,300,300,emptybottle,100,38,163,292
bottle_032.jpg,300,300,emptybottle,170,38,232,291
bottle_033.jpg,300,300,emptybottle,117,27,187,293
bottle_034.jpg,300,300,emptybottle,98,18,202,288
bottle_035.jpg,300,300,emptybottle,88,13,215,292
bottle_036.jpg,300,300,emptybottle,121,21,179,279
bottle_037.jpg,300,300,emptybottle,24,46,88,254
bottle_037.jpg,300,300,emptybottle,94,44,149,248
bottle_037.jpg,300,300,emptybottle,155,46,210,247
bottle_037.jpg,300,300,emptybottle,216,44,275,249
bottle_038.jpg,300,300,emptybottle,24,89,94,256
bottle_038.jpg,300,300,emptybottle,91,57,144,251
bottle_038.jpg,300,300,emptybottle,153,51,213,258
bottle_038.jpg,300,300,emptybottle,218,43,290,262
bottle_041.jpg,300,300,emptybottle,18,43,73,213
bottle_041.jpg,300,300,emptybottle,76,45,125,213
bottle_041.jpg,300,300,emptybottle,135,49,181,213
bottle_041.jpg,300,300,emptybottle,183,49,237,215
bottle_041.jpg,300,300,emptybottle,235,49,291,217
bottle_042.jpg,300,300,emptybottle,78,2,223,296
bottle_043.jpg,300,300,emptybottle,87,4,210,296
bottle_044.jpg,300,300,emptybottle,111,29,196,280
bottle_046.jpg,300,300,emptybottle,98,12,201,286
bottle_048.jpg,300,300,emptybottle,11,31,52,182
bottle_048.jpg,300,300,emptybottle,19,196,43,275
bottle_048.jpg,300,300,emptybottle,66,30,90,94
bottle_048.jpg,300,300,emptybottle,65,99,89,182
bottle_048.jpg,300,300,emptybottle,62,187,90,275
bottle_048.jpg,300,300,emptybottle,104,140,142,273
bottle_048.jpg,300,300,emptybottle,108,31,136,123
bottle_048.jpg,300,300,emptybottle,154,28,194,169
bottle_048.jpg,300,300,emptybottle,163,182,189,274
bottle_048.jpg,300,300,emptybottle,207,164,237,273
bottle_048.jpg,300,300,emptybottle,209,29,239,139
bottle_048.jpg,300,300,emptybottle,255,28,281,120
bottle_048.jpg,300,300,emptybottle,252,134,290,276
bottle_050.jpg,300,300,emptybottle,12,124,73,290
bottle_050.jpg,300,300,emptybottle,76,107,137,280
bottle_050.jpg,300,300,emptybottle,138,26,216,266
bottle_050.jpg,300,300,emptybottle,213,69,284,277
bottle_050.jpg,300,300,emptybottle,58,9,136,266
bottle_053.jpg,300,300,emptybottle,112,32,178,273
bottle_054.jpg,300,300,emptybottle,62,47,135,244
bottle_054.jpg,300,300,emptybottle,153,79,222,233
bottle_056.jpg,300,300,emptybottle,44,102,93,266
bottle_056.jpg,300,300,emptybottle,110,34,182,265
bottle_056.jpg,300,300,emptybottle,199,80,259,265
bottle_057.jpg,300,300,emptybottle,57,16,129,277
bottle_057.jpg,300,300,emptybottle,180,19,253,275
bottle_058.jpg,300,300,emptybottle,112,46,192,268
bottle_059.jpg,300,300,emptybottle,105,31,177,267
bottle_061.jpg,300,300,emptybottle,113,8,184,294
bottle_062.jpg,300,300,emptybottle,120,26,197,275
